================================================================================================================================================================
STRATEGY C OPTIMIZATION v6 — 20 CITIES + METAR CALIBRATION
================================================================================================================================================================

--- Phase 1: Baseline ---
  [  1] baseline_20cities                                                 | comp=   70.7769 | trades=3590 | sharpe=  11.99 | win= 69.2% | pnl= 177.4% | dd= 0.75% | 1s

--- Phase 2: Single-param sweeps ---
  [  2] maxp=0.35                                                         | comp=   57.1516 | trades=2509 | sharpe=  11.59 | win= 65.1% | pnl= 121.1% | dd= 0.78% | 1s
  [  3] maxp=0.38                                                         | comp=   57.1516 | trades=2509 | sharpe=  11.59 | win= 65.1% | pnl= 121.1% | dd= 0.78% | 1s
  [  4] maxp=0.4                                                          | comp=   69.0450 | trades=3450 | sharpe=  12.00 | win= 68.9% | pnl= 170.8% | dd= 1.01% | 2s
  [  5] maxp=0.43                                                         | comp=   72.5666 | trades=3780 | sharpe=  11.96 | win= 69.6% | pnl= 186.0% | dd= 0.65% | 2s
  [  6] maxp=0.46                                                         | comp=   74.2074 | trades=3923 | sharpe=  12.00 | win= 70.3% | pnl= 193.4% | dd= 0.65% | 3s
  [  7] maxp=0.5                                                          | comp=   74.7234 | trades=3996 | sharpe=  11.98 | win= 70.5% | pnl= 196.5% | dd= 0.65% | 3s
  [  8] maxp=0.55                                                         | comp=   74.8939 | trades=4021 | sharpe=  11.97 | win= 70.5% | pnl= 197.5% | dd= 0.65% | 4s
  [  9] maxp=0.6                                                          | comp=   75.0377 | trades=4046 | sharpe=  11.95 | win= 70.7% | pnl= 198.3% | dd= 0.65% | 4s
  [ 10] mfp=0.5                                                           | comp=   70.7769 | trades=3590 | sharpe=  11.99 | win= 69.2% | pnl= 177.4% | dd= 0.75% | 5s
  [ 11] mfp=0.55                                                          | comp=   65.4940 | trades=2415 | sharpe=  13.54 | win= 73.3% | pnl= 113.0% | dd= 0.78% | 5s
  [ 12] mfp=0.6                                                           | comp=   57.8898 | trades=1483 | sharpe=  15.17 | win= 76.2% | pnl=  60.9% | dd= 0.45% | 6s
  [ 13] mfp=0.62                                                          | comp=   52.5893 | trades=1268 | sharpe=  14.90 | win= 75.5% | pnl=  47.6% | dd= 0.44% | 6s
  [ 14] mfp=0.65                                                          | comp=   50.7025 | trades=1024 | sharpe=  15.95 | win= 77.4% | pnl=  38.0% | dd= 0.34% | 7s
